num_run,Objective,Optimization type,AEP,LCOE,Layout,Iterations
44,AEP,Sequential,2863.8793366312534,-115.31422591100383,"[66, 937, 957, 977, 1584, 2639, 2659, 2695, 2732, 5049, 5089, 5129, 5164, 8498, 8518, 8554, 8614, 8650, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12809, 12829, 12869, 12889, 12909, 17997, 18017, 18126, 18161, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23353, 23373, 23411, 23461, 27793, 27811, 27851, 27887, 27927, 27935, 28340, 31295, 31335, 31390, 31410, 31738, 32480, 33947, 34007, 34027, 34040, 35574, 35594, 36154]",202
44,AEP,Joint,2871.8581828938854,-114.993849895949,"[19, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5109, 5164, 8498, 8518, 8534, 8554, 8574, 8594, 8614, 8634, 8650, 8670, 12679, 12719, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18086, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23333, 23373, 23461, 27773, 27851, 27907, 27927, 27935, 31335, 31370, 31410, 32746, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",176
44,LCOE,Sequential,2858.43331025197,-115.53392819125838,"[41, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8534, 8554, 8594, 8634, 8650, 8670, 9878, 12679, 12719, 12734, 12789, 12809, 12829, 12849, 12889, 12909, 18017, 18046, 18106, 18181, 18201, 18241, 18261, 19974, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23373, 23393, 23431, 23461, 27927, 27935, 28638, 28923, 31295, 31315, 31335, 31390, 31410, 33947, 33987, 34007, 34027, 34040, 35122, 35574, 35594, 36154]",202
44,LCOE,Joint,2871.6828730834713,-115.0008700130423,"[49, 937, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5109, 5149, 5164, 8498, 8518, 8534, 8554, 8594, 8634, 8650, 8670, 12679, 12719, 12734, 12789, 12829, 12849, 12869, 12889, 12909, 18017, 18046, 18066, 18106, 18181, 18201, 18221, 18241, 18261, 21282, 23238, 23258, 23278, 23298, 23333, 23393, 23431, 23461, 27773, 27811, 27867, 27927, 27935, 31295, 31335, 31390, 31410, 31744, 32748, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
43,AEP,Sequential,2864.709737477419,-115.28079947707273,"[75, 306, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5109, 5164, 6736, 8498, 8518, 8534, 8594, 8614, 8650, 8670, 11966, 12679, 12719, 12754, 12849, 12909, 17997, 18017, 18046, 18066, 18106, 18126, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23333, 23393, 23461, 27773, 27831, 27887, 27907, 27927, 27935, 31295, 31315, 31390, 31572, 31593, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]",202
43,AEP,Joint,2873.466146708762,-114.92950045171492,"[18, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5109, 5164, 8498, 8518, 8534, 8574, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12734, 12809, 12849, 12889, 12909, 17997, 18017, 18046, 18066, 18106, 18126, 18141, 18181, 18201, 18241, 18261, 23238, 23258, 23278, 23318, 23393, 23461, 27773, 27793, 27831, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
43,LCOE,Sequential,2858.4087960974593,-115.53491902803822,"[60, 937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5109, 5164, 8498, 8534, 8574, 8594, 8614, 8634, 8650, 10347, 12679, 12699, 12719, 12789, 12829, 12869, 12889, 12909, 17786, 17997, 18017, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23278, 23298, 23333, 23373, 23411, 23461, 27831, 27867, 27887, 27935, 28345, 31103, 31295, 31335, 31370, 31580, 32999, 33947, 33967, 33987, 34007, 34040, 35574, 35594, 36154]",188
43,LCOE,Joint,2874.5063839050786,-114.8879093312382,"[11, 957, 977, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5149, 5164, 8498, 8518, 8534, 8554, 8614, 8634, 8650, 8670, 12679, 12699, 12789, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23431, 23461, 27773, 27793, 27831, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31335, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
42,AEP,Sequential,2863.846140159728,-115.31556258386594,"[78, 264, 937, 977, 2639, 2659, 2695, 2715, 2732, 5049, 5069, 5109, 5149, 5164, 8518, 8554, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12754, 12849, 12889, 12909, 16976, 17997, 18017, 18161, 18181, 18221, 18241, 18261, 18345, 22983, 23258, 23278, 23298, 23318, 23353, 23431, 23461, 25504, 27773, 27831, 27887, 27907, 27927, 28136, 31295, 31315, 31335, 31350, 31390, 31592, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]",202
42,AEP,Joint,2853.321058851538,-115.74092855119366,"[937, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5149, 5164, 8498, 8518, 8534, 8574, 8634, 8650, 8670, 12679, 12699, 12754, 12789, 12829, 12849, 12869, 12889, 12909, 18017, 18046, 18106, 18126, 18161, 18181, 18201, 18241, 18261, 19411, 23238, 23258, 23298, 23333, 23353, 23373, 23393, 23411, 23461, 27793, 27811, 27867, 27927, 27935, 31295, 31315, 31335, 31350, 31370, 31390, 31410, 33947, 34027, 34040, 35594, 36154]",70
