num_run,Objective,Optimization type,Robustness,AEP,LCOE,Layout
18,AEP,Sequential,Robust objective,5029.9506585321615,,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,22 wind speeds,5207.387501894069,-63.41875435350884,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,360 wind directions,2860.9656334721008,-115.43166577829943,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,FLORIS yaw,2870.155837145646,,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Sequential,Original objective,2869.6125491291186,-115.08383907310989,"[54, 937, 957, 977, 2639, 2675, 2695, 2715, 2732, 4197, 5049, 5069, 5149, 8498, 8534, 8554, 8574, 8594, 8634, 8650, 8670, 12679, 12699, 12719, 12809, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18086, 18106, 18126, 18141, 18181, 18201, 18221, 18241, 18261, 22981, 23258, 23333, 23393, 23461, 27773, 27793, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31350, 31410, 32040, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
18,AEP,Joint,Robust objective,5027.772075130789,,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,AEP,Joint,22 wind speeds,5204.769562776006,-63.4506532562054,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,AEP,Joint,360 wind directions,2857.887066211575,-115.55601084122871,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,AEP,Joint,FLORIS yaw,2866.513331896885,,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,AEP,Joint,Original objective,2865.8707506761825,-115.23409725586296,"[88, 937, 957, 977, 2639, 2659, 2695, 2715, 5049, 5069, 5089, 5149, 5164, 5644, 8498, 8534, 8574, 8594, 8614, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12829, 12869, 12889, 12909, 18017, 18106, 18141, 18161, 18181, 18201, 18221, 18241, 18261, 19694, 23238, 23278, 23298, 23333, 23461, 27773, 27811, 27831, 27867, 27907, 27927, 27935, 31295, 31315, 31335, 31587, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
18,LCOE,Sequential,Robust objective,,-65.6486591251598,"[68, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8518, 8554, 8594, 8634, 8670, 12679, 12699, 12719, 12734, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27867, 27907, 27935, 31295, 31350, 31390, 31425, 32747, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]"
18,LCOE,Sequential,22 wind speeds,5206.900825882122,-63.42468194604104,"[68, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8518, 8554, 8594, 8634, 8670, 12679, 12699, 12719, 12734, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27867, 27907, 27935, 31295, 31350, 31390, 31425, 32747, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]"
18,LCOE,Sequential,360 wind directions,2861.6466046416494,-115.40419710473208,"[68, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8518, 8554, 8594, 8634, 8670, 12679, 12699, 12719, 12734, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27867, 27907, 27935, 31295, 31350, 31390, 31425, 32747, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]"
18,LCOE,Sequential,FLORIS yaw,,-115.00163027419762,"[68, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8518, 8554, 8594, 8634, 8670, 12679, 12699, 12719, 12734, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27867, 27907, 27935, 31295, 31350, 31390, 31425, 32747, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]"
18,LCOE,Sequential,Original objective,2868.6142695203916,-115.12388832304266,"[68, 957, 977, 2639, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5129, 5164, 8518, 8554, 8594, 8634, 8670, 12679, 12699, 12719, 12734, 12774, 12809, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18086, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23353, 23373, 23393, 23411, 23431, 23461, 27773, 27793, 27811, 27867, 27907, 27935, 31295, 31350, 31390, 31425, 32747, 33947, 33967, 33987, 34007, 34027, 34040, 35558, 35574, 35594, 36154]"
18,LCOE,Joint,Robust objective,,-65.64410040532097,"[79, 937, 957, 977, 2659, 2675, 2695, 2715, 2732, 5049, 5069, 5089, 5109, 5129, 5149, 5164, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12789, 12829, 12849, 12889, 12909, 17997, 18017, 18201, 18221, 18241, 18261, 23238, 23258, 23278, 23298, 23318, 23333, 23353, 23393, 23411, 23431, 23461, 27773, 27811, 27867, 27887, 27927, 27935, 31295, 31315, 31335, 31390, 31410, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
