num_run,Objective,Optimization type,Power density,AEP,Layout,Iterations
42,AEP,Sequential,20,701.4966485768263,"[40, 60, 710, 720, 740, 2840, 2880, 2910, 3570, 4260, 4330, 4970, 4990, 5000, 5030, 5040]",91
42,AEP,Joint,20,704.365682332518,"[0, 30, 50, 70, 780, 1470, 2130, 2170, 2200, 2860, 3550, 4280, 4320, 4990, 5010, 5040]",105
41,AEP,Sequential,20,706.4266623461847,"[10, 30, 50, 60, 70, 710, 1430, 2200, 2870, 2880, 2900, 4970, 4980, 4990, 5000, 5030]",75
41,AEP,Joint,20,698.3184760791544,"[20, 60, 647, 760, 1420, 1460, 2160, 2840, 2890, 3570, 4260, 4330, 4970, 4980, 5010, 5030]",94
40,AEP,Sequential,20,702.9130205076641,"[0, 20, 50, 780, 1420, 1450, 1490, 2130, 3560, 3620, 4260, 4330, 4970, 5010, 5030, 5040]",52
40,AEP,Joint,20,702.0521293349877,"[0, 30, 48, 740, 760, 780, 2130, 2840, 2870, 2900, 3600, 4270, 4330, 4970, 5000, 5030]",132
39,AEP,Sequential,20,707.563554328222,"[0, 20, 60, 70, 740, 1420, 1490, 2130, 2910, 4330, 4970, 4980, 5000, 5010, 5020, 5030]",202
39,AEP,Joint,20,706.3088065252617,"[0, 20, 30, 40, 70, 780, 1932, 2130, 2200, 2900, 3580, 4280, 4310, 4330, 4970, 5040]",109
38,AEP,Sequential,20,694.9388085941569,"[20, 40, 710, 780, 1440, 2180, 2200, 3560, 3620, 4260, 4290, 4330, 4970, 4980, 5000, 5040]",52
38,AEP,Joint,20,701.0047804808961,"[0, 40, 70, 689, 730, 2130, 2190, 2200, 2850, 3550, 3590, 4330, 4970, 4981, 5000, 5010]",103
37,AEP,Sequential,20,694.0293336045427,"[0, 10, 70, 710, 760, 780, 1440, 1490, 2150, 2850, 3610, 4260, 4290, 4970, 4990, 5040]",52
37,AEP,Joint,20,703.2497569490296,"[0, 50, 70, 579, 710, 1490, 2130, 2150, 2180, 2910, 3810, 4260, 4330, 4970, 4980, 5030]",168
36,AEP,Sequential,20,702.3281529232654,"[0, 10, 20, 50, 70, 1430, 1490, 2200, 2285, 2890, 3550, 4425, 4588, 4970, 5000, 5040]",105
36,AEP,Joint,20,705.4392246414818,"[10, 40, 70, 760, 780, 2130, 2200, 2910, 3550, 3787, 4018, 4676, 4970, 4990, 5010, 5040]",117
35,AEP,Sequential,20,697.1815819887623,"[10, 20, 104, 710, 770, 780, 1775, 2150, 2190, 2840, 3560, 3610, 4330, 4888, 4970, 4990]",122
35,AEP,Joint,20,698.8020385777663,"[10, 70, 710, 730, 1450, 1480, 1490, 2840, 2860, 2910, 3560, 3690, 4300, 4970, 5020, 5040]",61
34,AEP,Sequential,20,697.4655750417984,"[0, 70, 392, 710, 730, 780, 1420, 2123, 2130, 3550, 3620, 4310, 4330, 5000, 5010, 5040]",87
34,AEP,Joint,20,696.8386808814519,"[40, 70, 710, 730, 760, 1430, 2190, 2870, 3550, 4027, 4260, 4330, 4970, 4990, 5000, 5040]",69
33,AEP,Sequential,20,706.5350395383193,"[0, 40, 50, 60, 70, 659, 710, 2140, 2190, 2880, 3265, 4970, 4980, 4990, 5000, 5020]",88
33,AEP,Joint,20,710.8351241982666,"[0, 30, 50, 60, 70, 1470, 1849, 2196, 2840, 3570, 3600, 4970, 4990, 5010, 5030, 5040]",184
32,AEP,Sequential,20,708.2135941008365,"[20, 30, 50, 70, 710, 1337, 1420, 2870, 2910, 3386, 4260, 4330, 4970, 4990, 5010, 5040]",202
32,AEP,Joint,20,701.5155149407781,"[0, 10, 30, 40, 70, 770, 1440, 2140, 2160, 2174, 4270, 4320, 4970, 4980, 5000, 5040]",97
31,AEP,Sequential,20,697.5821103940046,"[0, 10, 70, 525, 750, 1420, 1480, 1490, 2130, 2170, 2860, 3570, 4260, 4970, 5020, 5040]",89
31,AEP,Joint,20,709.7402715529041,"[50, 70, 710, 720, 740, 1348, 2130, 2190, 2910, 3550, 3570, 3871, 4970, 4990, 5010, 5040]",117
30,AEP,Sequential,20,698.7539343211129,"[0, 10, 50, 60, 70, 740, 750, 1082, 1420, 1490, 2850, 3550, 4290, 4330, 4970, 5010]",91
30,AEP,Joint,20,706.2905951517247,"[0, 60, 70, 720, 740, 780, 2130, 2160, 2190, 3550, 3666, 4260, 4330, 4970, 5000, 5030]",86
29,AEP,Sequential,20,712.677036536234,"[10, 40, 50, 60, 70, 497, 1420, 2130, 2200, 2860, 3550, 4260, 4970, 5000, 5020, 5040]",176
29,AEP,Joint,20,700.5125150530284,"[0, 50, 70, 770, 1420, 1470, 2149, 2900, 3550, 3580, 4270, 4300, 4330, 4970, 5000, 5040]",98
28,AEP,Sequential,20,697.8466901705932,"[0, 30, 50, 60, 70, 710, 760, 2130, 2860, 2900, 2910, 3201, 3600, 4980, 4990, 5040]",75
28,AEP,Joint,20,701.2709103284096,"[0, 70, 740, 770, 780, 1420, 2130, 2160, 2601, 3120, 3580, 3985, 4320, 4950, 4970, 4980]",134
27,AEP,Sequential,20,698.3416022108405,"[10, 40, 70, 770, 780, 1420, 1440, 2130, 2200, 2910, 4260, 4290, 4310, 4320, 4330, 4970]",52
27,AEP,Joint,20,698.3416022108405,"[10, 40, 70, 770, 780, 1420, 1440, 2130, 2200, 2910, 4260, 4290, 4310, 4320, 4330, 4970]",52
26,AEP,Sequential,20,699.6577209563159,"[0, 60, 70, 730, 1420, 1470, 1480, 2170, 2840, 2910, 3590, 4310, 4970, 4990, 5000, 5040]",63
26,AEP,Joint,20,701.2433417857517,"[50, 60, 70, 730, 1450, 1470, 2130, 2170, 2860, 2910, 3550, 4310, 4330, 4970, 4990, 5040]",52
25,AEP,Sequential,20,698.2758431613033,"[10, 20, 50, 70, 807, 1420, 1430, 2173, 2910, 3550, 3570, 4098, 4829, 4990, 5000, 5040]",85
25,AEP,Joint,20,703.1241950970884,"[50, 70, 86, 710, 1440, 1460, 1766, 2840, 2870, 2910, 3550, 3610, 4260, 4806, 5000, 5040]",116
24,AEP,Sequential,20,705.0792272012601,"[10, 70, 710, 1126, 1420, 1460, 1906, 2840, 3580, 3971, 4970, 4980, 4990, 5000, 5020, 5040]",102
24,AEP,Joint,20,698.2416638788532,"[30, 50, 60, 710, 1420, 1480, 2130, 2150, 2200, 2890, 3560, 3590, 4330, 4970, 4990, 5010]",80
23,AEP,Sequential,20,699.28095771247,"[0, 40, 70, 710, 730, 770, 1490, 2130, 3070, 3550, 3620, 4320, 4330, 4970, 5000, 5010]",71
23,AEP,Joint,20,704.6991484876982,"[0, 10, 20, 40, 51, 70, 1430, 1490, 2140, 2200, 3134, 3610, 4455, 4980, 4990, 5040]",169
22,AEP,Sequential,20,706.4863055761389,"[0, 30, 60, 70, 710, 1180, 1754, 2840, 3226, 3620, 4147, 4970, 4990, 5000, 5020, 5040]",130
22,AEP,Joint,20,698.4334025413524,"[0, 20, 50, 70, 720, 780, 1420, 1440, 1490, 2160, 2840, 2900, 3661, 4270, 4990, 5020]",64
21,AEP,Sequential,20,698.4358782920986,"[0, 20, 50, 60, 70, 710, 750, 763, 1237, 2140, 3550, 3600, 3620, 4290, 4970, 5040]",97
21,AEP,Joint,20,709.2030257955862,"[0, 20, 30, 50, 70, 995, 1470, 1490, 2204, 2604, 3560, 4290, 4330, 4970, 5020, 5040]",110
