num_run,Yaw optimization type,Joint/Sequential,AEP,LCOE,Layout
17,None,Joint,2628.5059645461847,-125.64020521945808,"[83, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12849, 12889, 12909, 18017, 18086, 18141, 18161, 18221, 18241, 18261, 20778, 23238, 23258, 23278, 23318, 23333, 23431, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
17,geometric_yaw_Stanley,Joint,2821.550996100874,-117.0441467343748,"[83, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12849, 12889, 12909, 18017, 18086, 18141, 18161, 18221, 18241, 18261, 20778, 23238, 23258, 23278, 23318, 23333, 23431, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
17,geometric_yaw_Jong,Joint,2871.784483714654,-115.19602210792428,"[83, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12849, 12889, 12909, 18017, 18086, 18141, 18161, 18221, 18241, 18261, 20778, 23238, 23258, 23278, 23318, 23333, 23431, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
17,yaw_optimizer_floris,Joint,2873.6593396222147,-115.14395062397372,"[83, 937, 957, 2639, 2659, 2675, 2715, 2732, 5049, 5069, 5109, 5129, 5149, 5164, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12754, 12774, 12809, 12849, 12889, 12909, 18017, 18086, 18141, 18161, 18221, 18241, 18261, 20778, 23238, 23258, 23278, 23318, 23333, 23431, 23461, 27773, 27793, 27851, 27867, 27887, 27907, 27927, 27935, 31295, 31315, 31350, 31390, 33947, 33967, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
16,None,Sequential,2631.9683118870826,-125.4749258623751,"[95, 937, 957, 977, 2639, 2675, 2715, 2732, 3618, 4066, 5049, 5089, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23373, 23393, 23431, 23461, 27773, 27851, 27887, 27927, 27935, 31029, 31295, 31315, 31370, 31390, 31410, 31588, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
16,geometric_yaw_Stanley,Sequential,2815.0759633753355,-117.31336315705674,"[95, 937, 957, 977, 2639, 2675, 2715, 2732, 3618, 4066, 5049, 5089, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23373, 23393, 23431, 23461, 27773, 27851, 27887, 27927, 27935, 31029, 31295, 31315, 31370, 31390, 31410, 31588, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
16,geometric_yaw_Jong,Sequential,2859.789901706517,-115.8504482955268,"[95, 937, 957, 977, 2639, 2675, 2715, 2732, 3618, 4066, 5049, 5089, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23373, 23393, 23431, 23461, 27773, 27851, 27887, 27927, 27935, 31029, 31295, 31315, 31370, 31390, 31410, 31588, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
16,yaw_optimizer_floris,Sequential,2863.224031711884,-115.6914671449534,"[95, 937, 957, 977, 2639, 2675, 2715, 2732, 3618, 4066, 5049, 5089, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18066, 18126, 18181, 18221, 18241, 18261, 23238, 23258, 23278, 23318, 23333, 23373, 23393, 23431, 23461, 27773, 27851, 27887, 27927, 27935, 31029, 31295, 31315, 31370, 31390, 31410, 31588, 33947, 33967, 34007, 34040, 35574, 35594, 36154]"
16,None,Joint,2634.178303755788,-125.36965638783462,"[38, 298, 937, 977, 1842, 2639, 2659, 2675, 2732, 3589, 5049, 5069, 5089, 5129, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23461, 27773, 27793, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31410, 33124, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
16,geometric_yaw_Stanley,Joint,2823.2551124236634,-116.97349890660352,"[38, 298, 937, 977, 1842, 2639, 2659, 2675, 2732, 3589, 5049, 5069, 5089, 5129, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23461, 27773, 27793, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31410, 33124, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
16,geometric_yaw_Jong,Joint,2870.6361010298565,-115.05649884775757,"[38, 298, 937, 977, 1842, 2639, 2659, 2675, 2732, 3589, 5049, 5069, 5089, 5129, 5149, 8498, 8534, 8594, 8614, 8634, 8650, 8670, 12679, 12699, 12719, 12734, 12774, 12789, 12829, 12849, 12869, 12889, 12909, 17997, 18017, 18046, 18141, 18181, 18201, 18221, 18241, 18261, 23238, 23258, 23298, 23333, 23461, 27773, 27793, 27811, 27831, 27851, 27867, 27887, 27907, 27927, 27935, 31410, 33124, 33947, 33987, 34007, 34027, 34040, 35574, 35594, 36154]"
